GO_ID	Namespace
GO:0000737	Biological Process
GO:0000738	Biological Process
GO:0000739	Molecular Function
GO:0000740	Biological Process
GO:0000741	Biological Process
GO:0000742	Biological Process
GO:0000743	Biological Process
GO:0000744	Biological Process
GO:0000745	Biological Process
GO:0000746	Biological Process
GO:0000747	Biological Process
GO:0000748	Biological Process
GO:0000749	Biological Process
GO:0000750	Biological Process
GO:0000751	Biological Process
GO:0000752	Biological Process
GO:0000753	Biological Process
GO:0000754	Biological Process
GO:0000755	Biological Process
GO:0000756	Biological Process
GO:0000757	Biological Process
GO:0000758	Biological Process
GO:0000759	Biological Process
GO:0000760	Biological Process
GO:0000761	Biological Process
GO:0000762	Biological Process
GO:0000763	Biological Process
GO:0000764	Biological Process
GO:0000765	Biological Process
GO:0000766	Biological Process
GO:0000767	Biological Process
GO:0000768	Biological Process
GO:0000769	Biological Process
GO:0000770	Biological Process
GO:0000771	Biological Process
GO:0000772	Molecular Function
GO:0000773	Molecular Function
GO:0000774	Molecular Function
GO:0000775	Cellular Component
GO:0000776	Cellular Component
GO:0000779	Cellular Component
GO:0000781	Cellular Component
GO:0000782	Cellular Component
GO:0000783	Cellular Component
GO:0000785	Cellular Component
GO:0000786	Cellular Component
GO:0000791	Cellular Component
GO:0000792	Cellular Component
GO:0000793	Cellular Component
GO:0000794	Cellular Component
GO:0000795	Cellular Component
GO:0000796	Cellular Component
GO:0000798	Cellular Component
GO:0000800	Cellular Component
GO:0000801	Cellular Component
GO:0000802	Cellular Component
GO:0000803	Cellular Component
GO:0000804	Cellular Component
GO:0000805	Cellular Component
GO:0000806	Cellular Component
GO:0000807	Cellular Component
GO:0000808	Cellular Component
GO:0000809	Cellular Component
GO:0000810	Molecular Function
GO:0000811	Cellular Component
GO:0000812	Cellular Component
GO:0000813	Cellular Component
GO:0000814	Cellular Component
GO:0000815	Cellular Component
GO:0000817	Cellular Component
GO:0000818	Cellular Component
GO:0000819	Biological Process
GO:0000820	Biological Process
GO:0000821	Biological Process
GO:0000822	Molecular Function
GO:0000823	Molecular Function
GO:0000824	Molecular Function
GO:0000825	Molecular Function
GO:0000826	Molecular Function
GO:0000827	Molecular Function
GO:0000828	Molecular Function
GO:0000829	Molecular Function
GO:0000830	Molecular Function
GO:0000831	Molecular Function
GO:0000832	Molecular Function
GO:0000833	Molecular Function
GO:0000834	Molecular Function
GO:0000835	Cellular Component
GO:0000836	Cellular Component
GO:0000837	Cellular Component
GO:0000838	Cellular Component
GO:0000839	Cellular Component
GO:0000900	Molecular Function
GO:0000901	Molecular Function
GO:0000902	Biological Process
GO:0000903	Biological Process
GO:0000904	Biological Process
GO:0000905	Biological Process
GO:0000906	Molecular Function
GO:0000907	Molecular Function
GO:0000908	Molecular Function
GO:0000909	Biological Process
GO:0000910	Biological Process
GO:0000911	Biological Process
GO:0000912	Biological Process
GO:0000913	Biological Process
GO:0000914	Biological Process
GO:0000915	Biological Process
GO:0000916	Biological Process
GO:0000917	Biological Process
GO:0000918	Biological Process
GO:0000919	Biological Process
GO:0000920	Biological Process
GO:0000921	Biological Process
GO:0000922	Cellular Component
GO:0000923	Cellular Component
GO:0000930	Cellular Component
GO:0000931	Cellular Component
GO:0000932	Cellular Component
GO:0000933	Cellular Component
GO:0000934	Cellular Component
GO:0000935	Cellular Component
GO:0000936	Cellular Component
GO:0000937	Cellular Component
GO:0000938	Cellular Component
GO:0000939	Cellular Component
GO:0000940	Cellular Component
GO:0000943	Cellular Component
GO:0000947	Biological Process
GO:0000948	Biological Process
GO:0000949	Biological Process
GO:0000950	Biological Process
GO:0000951	Biological Process
GO:0000952	Biological Process
GO:0000953	Biological Process
GO:0000954	Biological Process
GO:0000955	Biological Process
GO:0000956	Biological Process
GO:0000957	Biological Process
GO:0000958	Biological Process
GO:0000959	Biological Process
GO:0000960	Biological Process
GO:0000961	Biological Process
GO:0000962	Biological Process
GO:0000963	Biological Process
GO:0000964	Biological Process
GO:0000965	Biological Process
GO:0000966	Biological Process
GO:0000967	Biological Process
GO:0000968	Biological Process
GO:0000969	Biological Process
GO:0000970	Biological Process
GO:0000971	Biological Process
GO:0000972	Biological Process
GO:0000973	Biological Process
GO:0000974	Cellular Component
GO:0000976	Molecular Function
